#http://open.canada.ca/data/en/dataset/b52664cf-bfd9-49ad-849a-cb88c92553b9
Ref_Date,GEO,MEASURE,Vector,Coordinate,Value
1977,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-1460.0
1978,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-780.0
1979,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-2730.0
1980,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-940.0
1981,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,..
1982,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-340.0
1983,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-210.0
1984,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-320.0
1985,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-825.0
1986,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-1330.0
1987,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-790.0
1988,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-150.0
1989,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-1670.0
1990,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-1790.0
1991,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-2239.0
1992,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-2798.0
1993,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-2342.0
1994,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-1885.0
1995,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,-1465.0
1996,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",Annual mass balance,v54326054,1.1,210.0
