Dear Sir or Madam, 
Here's the rest of our data, sorry for the delay!
With best regards, 
Carlos Linayas
----data starts from here!----
Site;Subpoint;VOR;PDB;DBHt;PW;WHt;PE;EHt;PA;AHt;PH;HHt;PL;LHt;PB % I removed "Observer" column since all measurements are mine
HortonCreek111;1;3;0;0;0;0;4;3.5;0;0;3;5;0;0;0
HortonCreek111;2;3;0;0;4;18.5;0;0;0;0;4;5.7;0;0;0
HortonCreek111;3;2;0;0;3;11.3;2;3;0;0;4;4.9;1;0.2;0
HortonCreek111;4;3.5;0;0;4;15.8;0;0;0;0;3;4.2;0;0;0
HortonCreek111;5;0;1;0.3;2;0.5;4;0.4;0;0;2;1.4;5;0.3;0
HortonCreek111;6;0;2;0.7;3;0.5;4;0.5;0;0;1;1.6;3;0.5;1
HortonCreek111;7;0;2;0.3;0;0;5;0.4;0;0;2;1.8;5;0.3;0
HortonCreek111;Don't remember;0;2;0.7;0;0;5;0.6;0;0;1;1.6;4;0.2;1 % <- Sorry about that, I messed up
HortonCreek111;Don't remember;0;1;0.4;2;0.3;3;0.3;0;0;2;1.3;5;0.4;0
HortonCreek112;1;0;1;0.8;0;0;3;0.3;0;0;1;0.9;4;0.4;1
HortonCreek112;2;0;2;0.5;0;0;3;0.4;0;0;2;0.7;3;0.1;1
HortonCreek112;3;0;1;0.1;0;0;3;0.2;0;0;1;0.5;4;0.1;2
HortonCreek112;4;0;2;0.3;0;0;3;0.2;0;0;1;0.5;4;0.1;1
HortonCreek112;5;0;0;0;0;0;4;0.7;0;0;1;0.5;2;0.1;2
HortonCreek112;6;0;0;0;0;0;2;0.3;0;0;2;0.7;3;0.3;3
HortonCreek112;7;0;0;0;2;0.3;3;0.3;0;0;2;0.8;4;0.4;2
HortonCreek112;8;0;3;0.7;0;0;0;0;0;0;1;3.1;5;0.5;0
HortonCreek112;9;0;0;0;0;0;2;0.2;0;0;2;0.7;1;0.3;4
